original_date,description,actual_event_date,status,source_url,notes
2019-02-25,Trump tweets Oil prices getting too high OPEC please relax,2019-02-25,VERIFIED,https://www.cnbc.com/2019/02/25/oil-falls-after-trump-says-prices-are-too-high-and-tells-opec-the-world-cannot-take-a-price-hike.html,Confirmed February 25 2019 (Monday). Oil dropped 3% on the tweet.
2019-04-10,EOs 13867/13868 streamline pipeline permitting,2019-04-10,VERIFIED,https://www.presidency.ucsb.edu/documents/executive-order-13868-promoting-energy-infrastructure-and-economic-growth,Confirmed April 10 2019 (Wednesday). Both EOs signed same day.
2019-04-22,Trump ends Iran oil sanction waivers demands zero exports,2019-04-22,VERIFIED,https://www.cnbc.com/2019/04/22/trump-expected-to-end-iran-oil-waivers-try-to-drive-exports-to-zero.html,Confirmed April 22 2019 (Monday). Pompeo announced no waivers will be renewed.
2019-06-20,Iran shoots down US drone; Trump orders then cancels retaliatory strike,2019-06-20,VERIFIED,https://en.wikipedia.org/wiki/2019_Iranian_shoot-down_of_American_drone,"Drone shot down June 20 2019 (Thursday). Trump approved then cancelled strike that evening. He tweeted about it June 21. Catalog date of June 20 is correct for the market-moving shootdown event."
2019-08-05,EO 13884 blocks all property of Venezuelan government,2019-08-05,VERIFIED,https://www.federalregister.gov/documents/2019/08/07/2019-17052/blocking-property-of-the-government-of-venezuela,EO 13884 signed August 5 2019 (Monday). Full economic embargo on Venezuelan government property. Date confirmed.
2019-09-16,Markets open after Abqaiq-Khurais drone attack; oil surges ~15%,2019-09-16,VERIFIED,https://www.npr.org/2019/09/16/761118726/oil-prices-jump-following-drone-attack-on-saudi-oil-facility,"Attack occurred September 14 2019 (Saturday). Markets opened Monday Sept 16 with WTI and Brent up ~14%. Catalog correctly uses Sept 16 (next trading day)."
2020-01-03,US kills Qasem Soleimani in Baghdad airstrike,2020-01-03,VERIFIED,https://en.wikipedia.org/wiki/Assassination_of_Qasem_Soleimani,"Strike at ~1 AM Baghdad time Jan 3 (10 PM UTC Jan 2). US markets were open Jan 3. Catalog date of Jan 3 is correct."
2020-01-08,Iran retaliates with missile strikes on US bases; Trump signals de-escalation,2020-01-08,VERIFIED,https://www.npr.org/2020/01/08/794501068/what-we-know-irans-missile-strike-against-the-u-s-in-iraq,"Missiles launched early morning Jan 8 Iraq time. Trump addressed the nation later Jan 8 saying Iran appears to be standing down. Date confirmed."
2020-03-09,Saudi-Russia price war erupts; oil crashes 25%,2020-03-09,VERIFIED,https://en.wikipedia.org/wiki/2020_Russia%E2%80%93Saudi_Arabia_oil_price_war,"Saudi Arabia announced price discounts March 8 (Sunday). Markets crashed March 9 (Monday) with oil down ~25%. Catalog correctly uses March 9."
2020-03-13,Trump declares COVID-19 national emergency; directs DOE to fill SPR,2020-03-13,VERIFIED,https://www.energy.gov/articles/department-energy-executes-direction-president-trump-announces-solicitation-purchase-crude,"National emergency declared March 13 2020 (Friday). Trump said will fill SPR to the top. Date confirmed."
2020-04-02,Trump brokers Saudi-Russia OPEC+ deal to cut production,2020-04-02,VERIFIED,https://www.cnbc.com/2020/04/02/trump-tells-cnbc-he-spoke-to-putin-mbs-and-expects-saudis-russia-to-announce-10-million-barrel-cut.html,"Trump tweeted April 2 2020 (Thursday) about expected 10M bpd cut after speaking with Putin and MBS. Oil spiked 25% that day. The formal OPEC+ deal was finalized April 12 but the market-moving announcement was April 2. Date is correct for event study."
2025-01-20,Inauguration Day: Drill Baby Drill executive orders and Paris withdrawal,2025-01-20,VERIFIED,https://www.whitehouse.gov/presidential-actions/2025/01/declaring-a-national-energy-emergency/,Date is correct. Trump signed Paris withdrawal EO and energy emergency EO 14156 on inauguration day January 20 2025.
2025-01-23,Trump tells Davos he will demand Saudi Arabia and OPEC bring oil prices down,2025-01-23,VERIFIED,https://www.cnbc.com/2025/01/23/oil-turns-lower-after-trump-says-hell-ask-saudi-arabia-and-opec-to-bring-the-price-down.html,Confirmed January 23 2025 (Thursday). Trump addressed Davos virtually and demanded OPEC lower prices.
2025-02-03,OPEC+ JMMC meeting maintains existing production cuts despite Trump pressure,2025-02-03,VERIFIED,https://www.opec.org/opec_web/en/press_room/28.htm,"58th JMMC met via videoconference February 3 2025 (Monday). Reaffirmed gradual return of 2.2M bpd voluntary adjustments starting April 1 2025. Date confirmed."
2025-02-04,NSPM-2 reimposes maximum pressure sanctions on Iran,2025-02-04,VERIFIED,https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-restores-maximum-pressure-on-iran/,Date correct. NSPM-2 signed Feb 4 2025 restoring maximum pressure on Iran.
2025-03-07,Trump sends letter to Ayatollah Khamenei seeking nuclear negotiations,2025-03-07,VERIFIED,https://www.fdd.org/analysis/2025/03/07/i-hope-youre-going-to-negotiate-trump-sends-letter-to-iranian-supreme-leader-urging-talks-on-nuclear-program/,"Letter was sent around March 5 but Trump confirmed it publicly via Fox Business interview aired March 7. Catalog uses March 7 which is the public disclosure date and market-relevant. Date is acceptable."
2025-03-24,EO 14245 imposes 25% secondary tariffs on countries importing Venezuelan oil,2025-03-24,VERIFIED,https://www.whitehouse.gov/presidential-actions/2025/03/imposing-tariffs-on-countries-importing-venezuelan-oil/,EO 14245 signed March 24 2025. Tariffs take effect April 2 2025. Signing date confirmed.
2025-04-02,Liberation Day: Trump announces 10% baseline reciprocal tariffs on all countries,2025-04-02,VERIFIED,https://www.npr.org/2025/04/02/nx-s1-5345802/trump-tariffs-liberation-day,"Confirmed April 2 2025 (Wednesday). EO 14257 signed in Rose Garden ceremony. 10% baseline took effect April 5; higher rates April 9."
2025-04-03,OPEC+ unexpectedly accelerates output restoration adding 411k bpd in May,2025-04-03,VERIFIED,https://www.opec.org/pr-detail/557-03-april-2025.html,Confirmed April 3 2025 (Thursday). Eight OPEC+ members agreed to 411k bpd increase for May (three monthly increments at once).
2025-04-09,Trump pauses reciprocal tariffs above 10% for 90 days except China,2025-04-09,VERIFIED,https://www.cnbc.com/2025/04/09/us-crude-oil-tumbles-as-china-imposes-retaliatory-tariffs.html,"Confirmed April 9 2025 (Wednesday). Announced via Truth Social. Markets surged (Dow +2900 pts). China tariffs raised to 125%."
2025-05-03,OPEC+ announces second consecutive accelerated 411k bpd output hike for June,2025-05-03,VERIFIED,https://www.cnbc.com/2025/05/03/opec-agrees-another-accelerated-oil-output-hike-for-june-sources-say.html,"Confirmed May 3 2025 (Saturday). Eight OPEC+ members agreed to 411k bpd increase for June. Next trading day is Monday May 5."
2025-05-13,Trump Gulf tour; Saudi Arabia announces $600B investment commitment,2025-05-13,VERIFIED,https://www.fdd.org/analysis/2025/05/13/u-s-and-saudi-arabia-sign-600-billion-agreements-as-trump-begins-tour-of-gulf/,Confirmed May 13 2025 (Tuesday). $600B in investment deals announced during Trump's Saudi visit.
2025-05-31,OPEC+ agrees to third consecutive 411k bpd accelerated output hike for July,2025-05-31,VERIFIED,https://www.cnbc.com/2025/05/31/opec-july-oil-output.html,"Confirmed May 31 2025 (Saturday). Eight OPEC+ members agreed to 411k bpd increase for July. Next trading day is Monday June 2."
2025-06-13,Israel launches surprise strikes on Iran beginning the Twelve-Day War,2025-06-13,VERIFIED,https://en.wikipedia.org/wiki/Twelve-Day_War,"Confirmed early hours of June 13 2025 (Friday). IDF struck Iranian nuclear facilities and military bases with 200+ fighter jets. Markets were open."
2025-06-22,US Operation Midnight Hammer strikes Iranian nuclear facilities,2025-06-22,VERIFIED,https://en.wikipedia.org/wiki/United_States_strikes_on_Iranian_nuclear_sites,"Confirmed June 22 2025 (Sunday). US struck Fordow Natanz and Isfahan with B-2 bombers. June 22 was a Sunday so next trading day is June 23."
2025-06-24,Twelve-Day War ceasefire announced by Trump,2025-06-24,VERIFIED,https://www.npr.org/2025/06/24/nx-s1-5443201/israel-iran-ceasefire-trump,"Trump announced ceasefire evening of June 23 via Truth Social; ceasefire took effect June 24 2025 (Tuesday). Catalog uses June 24 which is when markets reacted. Correct."
2025-07-05,OPEC+ accelerates output unwinding approving 548k bpd increase for August,2025-07-05,VERIFIED,https://www.opec.org/pr-detail/569-05-july-2025.html,"Confirmed July 5 2025 (Saturday). Eight OPEC+ members met virtually and approved 548k bpd increase for August (four monthly increments). Next trading day is Monday July 7."
2025-08-03,OPEC+ agrees to 547k bpd output increase for September,2025-08-03,VERIFIED,https://www.thenationalnews.com/business/energy/2025/08/03/opec-agrees-to-raise-oil-output-for-september/,"Confirmed August 3 2025 (Sunday). 547k bpd increase for September. Next trading day is Monday August 4."
2025-09-07,OPEC+ slows pace of output increases to 137k bpd for October,2025-09-07,VERIFIED,https://energynow.com/2025/09/eight-opec-members-agree-to-raise-oil-production-by-137000-bpd-in-october/,"Confirmed September 7 2025 (Sunday). Significantly slower pace than prior months. Next trading day is Monday September 8."
2025-10-09,Treasury sanctions 50+ entities in Iran oil network including Chinese teapot refineries,2025-10-09,VERIFIED,https://www.state.gov/releases/office-of-the-spokesperson/2025/10/sweeping-sanctions-on-irans-energy-exports,"Confirmed October 9 2025 (Thursday). State Department and Treasury jointly announced sweeping sanctions on ~40+ individuals entities and vessels in Iran energy trade."
2025-11-02,OPEC+ pauses output hikes for Q1 2026 reversing unwinding trend,2025-11-02,VERIFIED,https://shipandbunker.com/news/world/957703-eight-opec-members-to-pause-output-hike-for-q1-2026,"Confirmed November 2 2025 (Sunday). Eight OPEC+ members agreed to pause increments in Jan-Feb-Mar 2026 due to seasonality. Next trading day is Monday November 3."
2025-11-24,Interior Dept proposes massive 2026-2031 offshore leasing program,2025-11-24,VERIFIED,https://www.doi.gov/pressreleases/interior-launches-expansive-11th-national-offshore-leasing-program-advance-us-energy,"Confirmed November 24 2025 (Monday). Draft proposed program published in Federal Register same day covering 34 lease sales across 1.27 billion acres."
2025-11-30,OPEC+ reaffirms Q1 2026 output pause and extends group-wide cuts through end of 2026,2025-11-30,VERIFIED,https://www.opec.org/pr-detail/583-30-november-2025.html,"Confirmed November 30 2025 (Sunday). 40th OPEC and non-OPEC Ministerial Meeting reaffirmed Q1 2026 pause and kept group-wide cuts through end of 2026. Next trading day is Monday December 1."
2026-02-26,Third round of US-Iran nuclear talks in Geneva ends without deal,2026-02-26,VERIFIED,https://www.npr.org/2026/02/26/g-s1-111595/u-s-iran-to-third-round-nuclear-talks,"Confirmed February 26 2026 (Thursday). Third round of indirect talks in Geneva mediated by Oman. No deal reached but parties agreed to technical talks in Vienna."
2026-02-28,Operation Epic Fury: US-Israel air campaign against Iran; Khamenei killed; Strait of Hormuz closed,2026-02-28,VERIFIED,https://en.wikipedia.org/wiki/2026_Iran_war,"Confirmed February 28 2026 (Saturday). US and Israel launched Operation Epic Fury / Roaring Lion. Khamenei killed in Israeli air attack. Iran closed Strait of Hormuz. Next trading day is Monday March 2."
2026-03-01,OPEC+ emergency meeting agrees to 206k bpd increase amid Strait of Hormuz closure,2026-03-01,VERIFIED,https://www.cnbc.com/2026/03/01/opec-to-raise-oil-output-slightly-even-as-iran-war-disrupts-shipments.html,"Confirmed March 1 2026 (Sunday). OPEC+ agreed to 206k bpd increase for April. Analysts noted this was minimal given Hormuz disruption. Next trading day is Monday March 2."
2026-03-11,Trump authorizes 172M barrel SPR emergency release; IEA coordinates 400M barrel global drawdown,2026-03-11,VERIFIED,https://www.energy.gov/articles/united-states-release-172-million-barrels-oil-strategic-petroleum-reserve,"Confirmed March 11 2026 (Wednesday). DOE announced 172M barrel release coordinated with IEA 32-nation 400M barrel drawdown."
2026-03-12,Treasury eases sanctions on Russian oil (GL-134): 30-day waiver suspending price cap,2026-03-12,VERIFIED,https://ofac.treasury.gov/recent-actions/20260312_33,"Confirmed March 12 2026 (Thursday). GL-134 authorized delivery and sale of Russian-origin crude loaded on vessels as of March 12. Expired April 11."
2026-03-20,Treasury lifts sanctions on 140M barrels of Iranian crude on vessels (30-day waiver),2026-03-20,VERIFIED,https://www.cnbc.com/2026/03/20/us-issues-30-day-sanctions-waiver-for-sale-of-iranian-oil-at-sea.html,"Confirmed March 20 2026 (Friday). 30-day waiver allowing sale of ~140M barrels of Iranian oil already on vessels. Expired April 19."
2026-04-01,Trump primetime address threatens to bomb Iran back to the Stone Ages; oil above $105,2026-04-01,VERIFIED,https://www.democracynow.org/2026/4/2/headlines/trump_threatens_to_bomb_iran_back_to_stone_ages_wont_give_timeline_for_ending_war,"Confirmed April 1 2026 (Wednesday). Primetime address; Brent spiked above $105. Trump said US would bring them back to the stone ages."
2026-04-07,Trump announces Pakistan-mediated ceasefire with Iran,2026-04-07,VERIFIED,https://www.axios.com/2026/04/07/iran-2-week-ceasfire-trump-pakistan,"Confirmed April 7 2026 (Tuesday). Two-week ceasefire announced via Truth Social conditioned on Iran opening Strait of Hormuz. Pakistan mediated."
2026-04-21,Trump indefinitely extends Iran ceasefire; maintains naval blockade,2026-04-21,VERIFIED,https://www.cnbc.com/2026/04/21/trump-iran-war-ceasefire.html,"Confirmed April 21 2026 (Tuesday). Ceasefire extended indefinitely pending unified Iranian proposal. Naval blockade maintained."
2026-04-24,Treasury sanctions Chinese teapot refinery Hengli and ~40 Iranian oil shipping companies,2026-04-24,VERIFIED,https://home.treasury.gov/news/press-releases/sb0472,"Confirmed April 24 2026 (Friday). OFAC sanctioned Hengli Petrochemical (Dalian) and ~40 shadow fleet vessels/firms."
